NACA 0012 Airfoil Coordinates (chord c = 1 m)
Generated analytically from NACA 4-digit series thickness distribution
Formula: y_t = ±0.12 * 0.2 * c * (0.2969√(x/c) - 0.1260(x/c) - 0.3516(x/c)^2 + 0.2843(x/c)^3 - 0.1015(x/c)^4)
Columns: x/c    y_upper    y_lower
0.285000    0.011993    -0.011993
0.290000    0.011999    -0.011999
0.295000    0.012002    -0.012002
0.300000    0.012003    -0.012003
0.305000    0.012002    -0.012002
0.310000    0.011999    -0.011999
0.315000    0.011993    -0.011993
0.320000    0.011986    -0.011986
0.325000    0.011976    -0.011976
0.330000    0.011964    -0.011964
0.335000    0.011950    -0.011950
0.340000    0.011934    -0.011934
0.345000    0.011917    -0.011917
0.350000    0.011897    -0.011897
0.355000    0.011876    -0.011876
0.360000    0.011853    -0.011853
0.365000    0.011828    -0.011828
0.370000    0.011801    -0.011801
0.375000    0.011773    -0.011773
0.380000    0.011742    -0.011742
0.385000    0.011711    -0.011711
0.390000    0.011677    -0.011677
0.395000    0.011643    -0.011643
0.400000    0.011606    -0.011606
0.405000    0.011568    -0.011568
0.410000    0.011529    -0.011529
0.415000    0.011488    -0.011488
0.420000    0.011445    -0.011445
0.425000    0.011401    -0.011401
0.430000    0.011356    -0.011356
0.435000    0.011309    -0.011309
0.440000    0.011261    -0.011261
0.445000    0.011212    -0.011212
0.450000    0.011161    -0.011161
0.455000    0.011110    -0.011110
0.460000    0.011056    -0.011056
0.465000    0.011002    -0.011002
0.470000    0.010946    -0.010946
0.475000    0.010890    -0.010890
0.480000    0.010832    -0.010832
0.485000    0.010772    -0.010772
0.490000    0.010712    -0.010712
0.495000    0.010651    -0.010651
0.500000    0.010588    -0.010588
0.505000    0.010524    -0.010524
0.510000    0.010460    -0.010460
0.515000    0.010394    -0.010394
0.520000    0.010327    -0.010327
0.525000    0.010259    -0.010259
0.530000    0.010190    -0.010190
0.535000    0.010120    -0.010120
0.540000    0.010050    -0.010050
0.545000    0.009978    -0.009978
0.550000    0.009905    -0.009905
0.555000    0.009831    -0.009831
0.560000    0.009756    -0.009756
0.565000    0.009681    -0.009681
0.570000    0.009604    -0.009604
0.575000    0.009527    -0.009527
0.580000    0.009449    -0.009449
0.585000    0.009369    -0.009369
0.590000    0.009289    -0.009289
0.595000    0.009208    -0.009208
0.600000    0.009127    -0.009127
0.605000    0.009044    -0.009044
0.610000    0.008961    -0.008961
0.615000    0.008877    -0.008877
0.620000    0.008792    -0.008792
0.625000    0.008706    -0.008706
0.630000    0.008619    -0.008619
0.635000    0.008532    -0.008532
0.640000    0.008444    -0.008444
0.645000    0.008355    -0.008355
0.650000    0.008265    -0.008265
0.655000    0.008175    -0.008175
0.660000    0.008083    -0.008083
0.665000    0.007991    -0.007991
0.670000    0.007899    -0.007899
0.675000    0.007805    -0.007805
0.680000    0.007711    -0.007711
0.685000    0.007617    -0.007617
0.690000    0.007521    -0.007521
0.695000    0.007425    -0.007425
0.700000    0.007328    -0.007328
0.705000    0.007230    -0.007230
0.710000    0.007132    -0.007132
0.715000    0.007033    -0.007033
0.720000    0.006933    -0.006933
0.725000    0.006833    -0.006833
0.730000    0.006732    -0.006732
0.735000    0.006630    -0.006630
0.740000    0.006527    -0.006527
0.745000    0.006424    -0.006424
0.750000    0.006321    -0.006321
0.755000    0.006216    -0.006216
0.760000    0.006111    -0.006111
0.765000    0.006005    -0.006005
0.770000    0.005899    -0.005899
0.775000    0.005792    -0.005792
0.780000    0.005684    -0.005684
0.785000    0.005576    -0.005576
0.790000    0.005466    -0.005466
0.795000    0.005357    -0.005357
0.800000    0.005246    -0.005246
0.805000    0.005135    -0.005135
0.810000    0.005023    -0.005023
0.815000    0.004911    -0.004911
0.820000    0.004798    -0.004798
0.825000    0.004684    -0.004684
0.830000    0.004570    -0.004570
0.835000    0.004455    -0.004455
0.840000    0.004339    -0.004339
0.845000    0.004222    -0.004222
0.850000    0.004105    -0.004105
0.855000    0.003987    -0.003987
0.860000    0.003869    -0.003869
0.865000    0.003750    -0.003750
0.870000    0.003630    -0.003630
0.875000    0.003509    -0.003509
0.880000    0.003388    -0.003388
0.885000    0.003266    -0.003266
0.890000    0.003143    -0.003143
0.895000    0.003020    -0.003020
0.900000    0.002895    -0.002895
0.905000    0.002771    -0.002771
0.910000    0.002645    -0.002645
0.915000    0.002519    -0.002519
0.920000    0.002392    -0.002392
0.925000    0.002264    -0.002264
0.930000    0.002135    -0.002135
0.935000    0.002006    -0.002006
0.940000    0.001876    -0.001876
0.945000    0.001745    -0.001745
0.950000    0.001613    -0.001613
0.955000    0.001481    -0.001481
0.960000    0.001347    -0.001347
0.965000    0.001213    -0.001213
0.970000    0.001079    -0.001079
0.975000    0.000943    -0.000943
0.980000    0.000806    -0.000806
0.985000    0.000669    -0.000669
0.990000    0.000531    -0.000531
0.995000    0.000392    -0.000392
1.000000    0.000252    -0.000252
